Horizoltal	Vertical	H_Elipse	V_Elipse
-0.06721438	0.3486927	-0.1804177	1.125301
-0.06666423	0.349032	-0.1760114	1.126298
-0.06666423	0.349032	-0.1760178	1.124638
-0.06650703	0.3491392	-0.1747601	1.124975
-0.06650703	0.3491392	-0.174762	1.124451
-0.06632363	0.3492642	-0.1732954	1.124846
-0.06632363	0.3492642	-0.1732976	1.124235
-0.06603543	0.3494606	-0.1709947	1.124859
-0.06603543	0.3494606	-0.1709981	1.123898
-0.06595682	0.3495499	-0.1703698	1.124244
-0.06595682	0.3495499	-0.1703713	1.123807
-0.06595682	0.3495856	-0.1703707	1.123982
-0.06595682	0.3495856	-0.1703713	1.123807
-0.06595682	0.3496571	-0.1703701	1.124156
-0.06595682	0.3496571	-0.1703713	1.123807
-0.06593062	0.3496749	-0.1701621	1.123864
-0.06593062	0.3496749	-0.1701623	1.123777
-0.06587821	0.3496749	-0.1697446	1.123717
-0.06587821	0.3496749	-0.1697446	1.123717
-0.06585202	0.3496571	-0.169536	1.123599
-0.06585202	0.3496571	-0.169536	1.123599
-0.06587821	0.3496392	-0.1697451	1.123542
-0.06587821	0.3496392	-0.1697451	1.123542
-0.06585202	0.3496213	-0.1695366	1.123424
-0.06585202	0.3496213	-0.1695366	1.123424
-0.06585202	0.3496213	-0.1695366	1.123424
-0.06585202	0.3496213	-0.1695366	1.123424
-0.06585202	0.3495856	-0.1695372	1.12325
-0.06585202	0.3495856	-0.1695372	1.12325
-0.06585202	0.3495499	-0.1695378	1.123075
-0.06585202	0.3495499	-0.1695378	1.123075
-0.06572101	0.3493178	-0.1684975	1.12179
-0.06572101	0.3493178	-0.1684975	1.12179
-0.06556379	0.3491749	-0.1672474	1.120912
-0.06556379	0.3491749	-0.1672474	1.120912
-0.06553759	0.3487999	-0.1670447	1.11905
-0.06553759	0.3487999	-0.1670447	1.11905
-0.06640223	0.3481034	-0.1739538	1.116653
-0.06640223	0.3481034	-0.1739538	1.116653
-0.06661183	0.3478891	-0.1756327	1.115857
-0.06661183	0.3478891	-0.1756327	1.115857
-0.06658563	0.3478713	-0.1754236	1.115738
-0.06658563	0.3478713	-0.1754236	1.115738
-0.06655943	0.3478534	-0.1752146	1.115619
-0.06655943	0.3478534	-0.1752146	1.115619
-0.06653323	0.3478355	-0.1750055	1.115501
-0.06653323	0.3478355	-0.1750055	1.115501
-0.06655943	0.3478177	-0.1752153	1.115445
-0.06655943	0.3478177	-0.1752153	1.115445
-0.06653323	0.3478355	-0.1750055	1.115501
-0.06653323	0.3478355	-0.1750055	1.115501
-0.06653323	0.3478355	-0.1750055	1.115501
-0.06653323	0.3478355	-0.1750055	1.115501
-0.06653323	0.3478355	-0.1750055	1.115501
-0.06653323	0.3478355	-0.1750055	1.115501
-0.06653323	0.3478355	-0.1750055	1.115501
-0.06653323	0.3478355	-0.1750055	1.115501
-0.06653323	0.3478355	-0.1750055	1.115501
-0.06653323	0.3478355	-0.1750055	1.115501
-0.06653323	0.3478355	-0.1750055	1.115501
-0.06653323	0.3478355	-0.1750055	1.115501
-0.06653323	0.3478355	-0.1750055	1.115501
-0.06653323	0.3478355	-0.1750055	1.115501
-0.06653323	0.3478355	-0.1750055	1.115501
-0.06653323	0.3478355	-0.1750055	1.115501
-0.06653323	0.3478355	-0.1750055	1.115501
-0.06653323	0.3478355	-0.1750055	1.115501
-0.06653323	0.3477998	-0.1750062	1.115326
-0.06653323	0.3477998	-0.1750062	1.115326
-0.06930985	0.3451569	-0.1973686	1.105985
-0.06930985	0.3451569	-0.1973686	1.105985
-0.07567102	0.3379247	-0.2497578	1.080795
-0.07567102	0.3379247	-0.2497578	1.080795
-0.09515909	0.3242098	-0.4238468	1.060977
-0.09515909	0.3242098	-0.4238468	1.060977
-0.1229037	0.3044353	-0.7362077	1.075552
-0.1229037	0.3044353	-0.7362077	1.075552
-0.1351965	0.294302	-0.9165574	1.092965
-0.1351965	0.294302	-0.9165574	1.092965
-0.1442026	0.2830912	-1.084216	1.098727
-0.1442026	0.2830912	-1.084216	1.098727
-0.1403088	0.2560431	-0.9851696	0.8612238
-0.1403088	0.2560431	-0.9851696	0.8612238
-0.1342921	0.2420048	-0.9048442	0.7534979
-0.1342921	0.2420048	-0.9048442	0.7534979
-0.1185208	0.2305706	-0.7760051	0.7067423
-0.1185208	0.2305706	-0.7760051	0.7067423
-0.1016745	0.2189251	-0.6135831	0.6427943
-0.1016745	0.2189251	-0.6135831	0.6427943
-0.07797317	0.1917254	-0.3327205	0.4212285
