Horizoltal	Vertical
0	3.385797
0	3.185797
0	2.985797
0	2.785797
0	2.585797
0	2.385797
0	2.385797
0	2.185797
0	1.985797
0	1.785797
0	1.585797
0	1.385797
0	1.385797
0	1.185796
0	0.9857965
0	0.7857965
0	0.5857965
0	0.5857965
0	0.3857965
0	0.1857966
0	-0.01420343
0	-0.2142034
0	-0.4142034
0	-0.6142034
0	-0.8142034
0	-1.014203
0	-1.014203
0	-1.214203
0	-1.414203
0	-1.614203
0	-1.814204
0	-2.014204
0	-2.214204
0	-2.214204
0	-2.414204
0	-2.614204
0	-2.814204
0	-3.014204
0	-3.014204
0	-3.214204
0	-3.414204
0	-3.614204
0	-3.814204
0	-4.014204
0	-4.214204
0	-4.414204
0	-4.614203
0	-4.614203
0	-4.814203
0	-5.014203
0	-5.214203
0	-5.414203
0	-5.614202
0	-5.814202
0	-5.814202
0	-6.014202
0	-6.214202
0	-6.414202
0	-6.614202
0	-6.814201
0	-6.814201
0	-7.014201
0	-7.214201
0	-7.414201
0	-7.45
0	-7.440019
0	-7.440019
0	-7.420178
0	-7.410217
0	-7.399155
0	-7.389214
0	-7.379274
0	-7.379274
0	-7.359255
0	-7.349107
0	-7.339514
0	-7.329456
0	-7.319632
0	-7.319632
0	-7.298731
0	-7.28879
0	-7.278574
0	-7.268882
0	-7.258612
0	-7.258612
0	-7.25
0	-7.25
0	-7.25
0	-7.25
0	-7.25
0	-7.25
0	-7.25
0	-7.25
0	-7.25
0	-7.25
0	-7.25
0	-7.25
0	-7.259751
0	-7.272717
0	-7.282659
0	-7.292709
0	-7.302538
0	-7.312479
0	-7.312479
0	-7.332414
0	-7.342299
0	-7.332359
0	-7.321387
0	-7.311421
0	-7.301506
0	-7.301506
0	-7.281626
0	-7.271683
0	-7.261746
0	-7.251806
0	-7.251806
0	-7.25
0	-7.25
0	-7.240062
0	-7.220182
0	-7.189982
0	-7.150128
0	-7.100333
0	-7.100333
0	-7.030698
0	-6.951176
0	-6.860015
0	-6.758706
0	-6.645908
0	-6.523168
0	-6.523168
0	-6.380548
0	-6.227988
0	-6.065489
0	-5.89305
0	-5.708107
0	-5.513221
0	-5.513221
0	-5.313221
0	-5.113221
0	-4.913221
0	-4.713222
0	-4.513222
0	-4.513222
0	-4.313222
0	-4.113222
0	-3.913222
0	-3.713222
0	-3.513222
0	-3.313222
0	-3.313222
0	-3.113222
0	-2.913222
0	-2.713222
0	-2.513222
0	-2.313222
0	-2.313222
0	-2.113222
0	-1.9231
0	-1.743299
0	-1.573057
0	-1.412793
0	-1.412793
0	-1.272371
0	-1.142834
0	-1.023237
0	-0.9136553
0	-0.8139398
0	-0.8139398
0	-0.7341039
0	-0.664325
0	-0.6046011
0	-0.5351695
0	-0.4545425
0	-0.3638946
0	-0.3638946
0	-0.2726741
0	-0.1914144
0	-0.1204077
0	-0.0589853
0	-0.007497478
0	-0.007497478
0	0.0226595
0	0.04287501
0	0.05314999
0	0.05348563
0	0.05348563
0	0.05348563
0	0.05348563
0	0.05348563
0	0.05348563
0	0.05348563
0	0.05348563
0	0.05348563
0	0.05348563
0	0.05348563
0	0.05348563
0	0.05348563
0	0.05348563
0	0.05348563
0	0.05348563
0	0.05348563
0	0.05348563
0	0.05348563
0	0.05348563
0	0.05348563
0	0.05348563
0	0.05348563
0	0.05348563
0	0.05348563
0	0.05348563
0	0.05348563
0	0.05348563
0	0.05348563
0	0.05348563
0	0.05348563
0	0.05348563
0	0.05348563
0	0.05348563
0	0.05348563
0	0.05348563
0	0.05348563
0	0.05348563
0	0.05348563
0	0.05348563
0	0.05348563
0	0.05348563
0	0.05348563
0	0.05348563
0	0.05348563
0	0.05348563
0	0.05348563
0	0.05348563
0	0.05348563
0	0.05348563
0	0.05348563
0	0.05348563
0	0.05348563
0	0.05348563
0	0.05348563
0	0.05348563
0	0.05348563
0	0.05348563
0	0.05348563
0	0.05348563
0	0.05348563
0	0.05348563
0	0.05348563
0	0.05348563
0	0.05348563
0	0.05348563
0	0.05348563
0	0.05348563
0	0.05348563
-0.009634273	0.05348563
-0.02943669	0.05348563
-0.05938972	0.05348563
-0.05938972	0.05348563
